,title,body,url
0,Easy Japanese,#29 I went to listen to a piano recital.,https://www3.nhk.or.jp/nhkworld/en/vod/easyjapanese/6022029/
1,GRAND SUMO Highlights,Day 2,https://www3.nhk.or.jp/nhkworld/en/vod/sumo/2061227/
2,Inside Lens,The Duck Master,https://www3.nhk.or.jp/nhkworld/en/vod/lens/2056063/
3,TOKYO FASHION EXPRESS,Shining a Light on Classic Crafts,https://www3.nhk.or.jp/nhkworld/en/vod/tokyofashion/2009303/
4,GRAND SUMO Highlights,Day 1 (Opening Day),https://www3.nhk.or.jp/nhkworld/en/vod/sumo/2061226/
5,J-MELO,"J-Music Now (January, 2019)",https://www3.nhk.or.jp/nhkworld/en/vod/j-melo/2004325/
6,GRAND SUMO LIVE,January Tournament Day 1 (Opening Day),https://www3.nhk.or.jp/nhkworld/en/vod/sumolive/3004563/
7,Wild Hokkaido!,Lake Shikaribetsu from Autumn to Winter,https://www3.nhk.or.jp/nhkworld/en/vod/wildhokkaido/2069044/
8,Hometown Stories,A 26-Year-Old's Breast Cancer Diary,https://www3.nhk.or.jp/nhkworld/en/vod/hometown/5003106/
9,Medical Frontiers,Medical Frontiers Special - Search for Superfoods in Niigata -,https://www3.nhk.or.jp/nhkworld/en/vod/medicalfrontiers/3004560/
10,Biz Stream,A Deep Learning Start-up Challenges the World,https://www3.nhk.or.jp/nhkworld/en/vod/bizstream/2074027/
11,Easy Japanese,#28 May I take photos here?,https://www3.nhk.or.jp/nhkworld/en/vod/easyjapanese/6022028/
12,NHK WORLD PRIME,A Doctor Beside the Deathbed,https://www3.nhk.or.jp/nhkworld/en/vod/worldprime/3016033/
13,CYCLE AROUND JAPAN,Miyako Islands - Riding the Ocean Breeze -,https://www3.nhk.or.jp/nhkworld/en/vod/cycle/2066018/
14,At Home with Venetia in Kyoto,At Home with Venetia in Kyoto Autumn 2018,https://www3.nhk.or.jp/nhkworld/en/vod/venetia/3004559/
15,Dining with the Chef,"Cook Around Japan ""Fukushima""New Fukushima's cuisine",https://www3.nhk.or.jp/nhkworld/en/vod/dwc/2019221/
16,NEWSROOM TOKYO,#1000,https://www3.nhk.or.jp/nhkworld/en/vod/newsroomtokyo/1002010/
17,Asia Insight,N.Korean Defectors Become Company Presidents in S.Korea,https://www3.nhk.or.jp/nhkworld/en/vod/asiainsight/2022218/
18,Kawaii International,Upcycle Your Kawaii,https://www3.nhk.or.jp/nhkworld/en/vod/kawaii-i/2025092/
19,Japan Railway Journal,A New Generation of Commuter Train: Tokyu Corporation's Series 2020,https://www3.nhk.or.jp/nhkworld/en/vod/japanrailway/2049048/
20,RISING,"Safer, Smarter Coaches: Transport Innovator - Koji Hirayama",https://www3.nhk.or.jp/nhkworld/en/vod/rising/2042077/
21,DESIGN TALKS plus,Design Hunting in Yamagata,https://www3.nhk.or.jp/nhkworld/en/vod/designtalksplus/2046091/
22,Core Kyoto,Celebrating the New Year: With reverence and gratitude,https://www3.nhk.or.jp/nhkworld/en/vod/corekyoto/2029100/
23,Biz Buzz Japan,Security for 2020 and Beyond,https://www3.nhk.or.jp/nhkworld/en/vod/bizbuzz/2057030/
